,Learning Rate,Lambda Value,Epoch,Train Loss,Val mIoU,Test mIoU
160,0.0005,0.8,0,1.3581249713897705,0.27503681270095376,0.26906077926407146
161,0.0005,0.8,1,0.32521873712539673,0.5971212324935005,0.6663308883787888
162,0.0005,0.8,2,0.23146094381809235,0.7996202792146548,0.8564953143598217
163,0.0005,0.8,6,0.21086913347244263,0.9235938958964628,0.9201918166751275
164,0.0005,0.8,7,0.203431636095047,0.9387027702489824,0.9338222184539863
165,0.0005,0.8,23,0.19144727289676666,0.956042949771146,0.9501769217226306
166,0.0005,0.8,38,0.1823144555091858,0.9597498908307612,0.9391140343128658
167,0.001,0.2,0,1.3105624914169312,0.29376193749792967,0.288305657238612
168,0.001,0.2,1,0.3175976574420929,0.7442984174890844,0.7997849984474128
169,0.001,0.2,2,0.2393496036529541,0.8648330098902139,0.8821314390050321
170,0.001,0.2,3,0.22418749332427979,0.8741044201747428,0.8975778889677595
171,0.001,0.2,20,0.23145702481269836,0.8812132175052567,0.8672788446643659
172,0.001,0.2,37,0.20110155642032623,0.9036292545146041,0.8490012123000179
173,0.001,0.2,42,0.19652539491653442,0.9208896499319565,0.8907842654448712
174,0.001,0.2,45,0.19312891364097595,0.9281217100839595,0.9012926653206734
175,0.001,0.5,0,1.3671875,0.29625539789768673,0.29156159594061104
176,0.001,0.5,1,0.39487889409065247,0.4745910433617411,0.5278574337605275
177,0.001,0.5,3,0.3115234375,0.5652351103853887,0.6201496286382391
178,0.001,0.5,21,0.28416797518730164,0.5965688945404918,0.6386753824788727
179,0.001,0.5,29,0.2691289186477661,0.6235614827072294,0.6450084890140286
180,0.001,0.5,32,0.2694101631641388,0.710937376962296,0.6819373002815816
181,0.001,0.8,0,1.2716875076293945,0.296261591794531,0.2911321534785768
182,0.001,0.8,1,0.315617173910141,0.6707529668983142,0.7222617274436474
183,0.001,0.8,2,0.2365996092557907,0.8055939937954304,0.8399903202934655
184,0.001,0.8,13,0.24028515815734863,0.88502471346863,0.8968789415363395
185,0.001,0.8,17,0.21897070109844208,0.9134602732711901,0.9081255400125032
186,0.001,0.8,27,0.2035253942012787,0.9333477367566683,0.9245719057769346
187,0.001,0.8,28,0.2033359408378601,0.9372982513877479,0.938550941724632
188,0.001,0.8,29,0.20132030546665192,0.9413373904227905,0.9362352214243537
189,0.001,0.8,45,0.18610155582427979,0.9441964269791492,0.941490572873908
